City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Chokwe,MZ,2020-11-13 08:14:06,-24.53,32.98,84.58,38,15,4.27
150,Pangnirtung,CA,2020-11-13 08:14:06,66.15,-65.71,8.74,90,100,7.11
151,Lamar,US,2020-11-13 08:14:07,33.67,-95.58,57.2,82,40,9.17
152,Port Elizabeth,ZA,2020-11-13 08:14:07,-33.92,25.57,73.4,69,0,10.29
153,Tilichiki,RU,2020-11-13 08:14:07,60.47,166.1,8.11,92,2,6.24
154,Gat,IL,2020-11-13 08:14:07,31.61,34.76,75.99,60,0,1.12
155,Longyearbyen,SJ,2020-11-13 08:14:07,78.22,15.64,35.6,64,75,26.4
156,Surgut,RU,2020-11-13 08:14:07,61.25,73.42,17.6,92,40,6.71
157,Souillac,MU,2020-11-13 08:14:07,-20.52,57.52,84.2,66,20,17.22
158,Faya,SA,2020-11-13 08:14:08,18.39,42.45,71.6,93,0,2.91
159,Thompson,CA,2020-11-13 08:14:08,55.74,-97.86,-11.2,76,5,3.36
160,Juba,SS,2020-11-13 08:14:08,4.85,31.58,89.26,46,16,6.8
161,Port Macquarie,AU,2020-11-13 08:14:08,-31.43,152.92,72.0,56,75,17.22
162,Chhabra,IN,2020-11-13 08:14:08,24.67,76.83,87.31,33,6,1.7
163,Vila Franca Do Campo,PT,2020-11-13 08:14:08,37.72,-25.43,57.2,82,40,4.7
164,Dickson,US,2020-11-13 08:14:08,36.08,-87.39,48.99,76,90,4.34
165,Villazon,BO,2020-11-13 08:14:09,-22.09,-65.59,48.09,62,0,0.76
166,Coos Bay,US,2020-11-13 08:09:37,43.37,-124.22,51.8,81,90,14.99
167,Rio Tercero,AR,2020-11-13 08:14:09,-32.17,-64.11,66.34,54,66,6.06
168,Eskil,TR,2020-11-13 08:14:09,38.4,33.41,50.85,48,0,3.02
169,Isangel,VU,2020-11-13 08:14:09,-19.55,169.27,76.62,80,100,6.69
170,Saryg-Sep,RU,2020-11-13 08:14:09,51.5,95.6,32.52,88,100,6.64
171,Dikson,RU,2020-11-13 08:14:09,73.51,80.55,-0.58,93,59,3.22
172,Daru,PG,2020-11-13 08:14:09,-9.08,143.21,80.1,74,0,9.37
173,Bengkulu,ID,2020-11-13 08:14:10,-3.8,102.27,85.87,68,93,5.91
174,Winnemucca,US,2020-11-13 08:14:10,40.97,-117.74,26.6,73,1,5.82
175,Armizonskoye,RU,2020-11-13 08:14:10,55.95,67.67,25.23,97,100,8.86
176,San Patricio,US,2020-11-13 08:14:10,28.02,-97.52,73.99,93,20,5.82
177,Ushtobe,KZ,2020-11-13 08:14:10,45.25,77.98,40.71,58,60,3.42
178,Saint-Philippe,RE,2020-11-13 08:14:10,-21.36,55.77,82.4,65,0,10.29
179,Nalut,LY,2020-11-13 08:14:11,30.33,10.85,63.39,50,29,9.33
180,Chokurdakh,RU,2020-11-13 08:14:11,70.63,147.92,-13.92,90,44,3.36
181,Banjarmasin,ID,2020-11-13 08:14:11,-3.32,114.59,93.2,56,40,5.82
182,Esperance,AU,2020-11-13 08:14:11,-33.87,121.9,64.4,82,75,13.87
183,Talavera,PH,2020-11-13 08:14:11,15.62,120.93,89.6,66,75,6.93
184,Dakar,SN,2020-11-13 08:09:25,14.69,-17.44,75.2,57,0,11.39
185,Barcelos,PT,2020-11-13 08:14:11,41.54,-8.62,55.4,82,0,10.29
186,San Pedro,PH,2020-11-13 08:14:12,14.35,121.02,90.0,66,99,9.17
187,Colares,PT,2020-11-13 08:14:12,38.8,-9.45,60.01,82,75,4.7
188,Bethel,US,2020-11-13 08:14:12,41.37,-73.41,43.0,93,90,5.82
189,Altamira,BR,2020-11-13 08:14:12,-3.2,-52.21,73.72,85,98,3.27
190,Johor Bahru,MY,2020-11-13 08:14:12,1.47,103.76,91.4,55,40,10.29
191,Huicheng,CN,2020-11-13 08:14:12,23.04,116.29,78.8,47,0,6.71
192,Talnakh,RU,2020-11-13 08:14:13,69.49,88.4,-13.0,75,0,11.18
193,Margate,GB,2020-11-13 08:14:13,51.38,1.39,54.0,88,100,4.0
194,Narasannapeta,IN,2020-11-13 08:14:13,18.42,84.05,86.02,52,0,11.56
195,Berlevag,NO,2020-11-13 08:14:13,70.86,29.09,37.4,74,0,12.75
196,Kedrovyy,RU,2020-11-13 08:12:06,56.17,91.82,28.4,74,40,13.42
197,Le Moule,GP,2020-11-13 08:14:13,16.33,-61.35,73.4,94,75,1.12
198,Gao,ML,2020-11-13 08:14:13,16.64,1.64,76.84,18,0,19.95
199,Mazatlan,MX,2020-11-13 08:10:22,23.22,-106.42,72.0,72,5,6.44
200,Ponta Delgada,PT,2020-11-13 08:14:14,37.73,-25.67,57.2,82,40,4.7
201,Tura,IN,2020-11-13 08:14:14,25.52,90.22,82.08,51,0,2.53
202,Klimovo,RU,2020-11-13 08:14:14,52.38,32.19,32.65,90,91,7.0
203,Qaanaaq,GL,2020-11-13 08:14:14,77.48,-69.36,6.84,82,64,9.8
204,Anloga,GH,2020-11-13 08:14:14,5.79,0.9,77.0,94,20,3.36
205,Bolshaya Glushitsa,RU,2020-11-13 08:14:15,50.24,43.59,33.01,88,3,5.99
206,Avarua,CK,2020-11-13 08:09:58,-21.21,-159.78,73.4,88,100,2.24
207,Kavaratti,IN,2020-11-13 08:14:15,10.57,72.64,87.8,66,40,4.7
208,Iqaluit,CA,2020-11-13 08:14:15,63.75,-68.51,15.8,72,75,12.75
209,Evensk,RU,2020-11-13 08:14:15,61.95,159.23,3.2,84,82,9.31
